category,subject,day,start_period,end_period,start_time,end_time,room
전공,글로벌 비즈니스의 이해,수,7,9,15:00,18:00,성303
전공,글로벌 비즈니스의 이해,화,10,12,18:00,,성706
전공,마케팅커뮤니케이션,월,4,6,12:00,15:00,성302
전공,마케팅커뮤니케이션,수,4,6,12:00,15:00,성305
전공,마케팅커뮤니케이션,수,10,12,18:00,,성308
전공,경영과학,월,7,9,15:00,18:00,성710
전공,재무관리,화,7,9,15:00,18:00,성212
전공,관리회계,화,4,6,12:00,15:00,성302
전공,관리회계,화,10,12,18:00,,성302
전공,소비자행동론,금,4,6,12:00,15:00,성212
전공,소비자행동론,토,1,3,09:00,12:00,성307
전공,파생상품론,화,4,6,12:00,15:00,성212
전공,신상품개발론,월,7,9,15:00,18:00,성302
전공,노사관계론,금,7,9,15:00,18:00,성305
전공,노사관계론,토,4,6,12:00,15:00,성302
전공,세무회계,월,4,6,12:00,15:00,성212
전공,세무회계,토,1,3,09:00,12:00,성305
전공,글로벌 기업론,화,7,9,15:00,18:00,성302
전공,글로벌 기업론,수,10,12,18:00,,성706
전공,데이터 사이언스 2,목,1,3,09:00,12:00,nan
전공,데이터 사이언스 2,토,4,6,12:00,15:00,수207
전공,위험 관리와 보험,목,7,9,15:00,18:00,성211
전공,공급사슬 및 물류관리,수,7,9,15:00,18:00,성707
전공,공급사슬 및 물류관리,월,10,12,18:00,,성707
전공,서비스마케팅,목,4,6,12:00,15:00,성212
전공,서비스마케팅,목,10,12,18:00,,성212
전공,회계감사,월,10,12,18:00,,성705
전공,회계감사,월,10,12,18:00,,성705
전공,빅데이터 분석 실습,금,10,12,18:00,,수207
전공,빅데이터 분석 실습,금,10,12,18:00,,수207
전공,국제재무론,월,7,9,15:00,18:00,성212
전공,HR 애널리틱스,수,10,12,18:00,,성307
전공,HR 애널리틱스,수,10,12,18:00,,성307
전공,국제 마케팅,화,7,9,15:00,18:00,난706
전공,가족복지론,목,4,6,12:00,15:00,운캠B 424
전공,사회복지역사,목,7,9,15:00,18:00,운캠B 531
전공,아동복지론,수,4,6,12:00,15:00,운캠C 208
전공,사회복지실천론,목,1,3,09:00,12:00,운캠B 424
전공,자원봉사론,목,4,6,12:00,15:00,운캠B 530
전공,사회복지행정론,월,4,6,12:00,15:00,운캠C 208
전공,학교사회복지론,화,4,6,12:00,15:00,운캠B 531
전공,지역사회복지론,월,7,9,15:00,18:00,운캠B 529
전공,가족상담 및 가족치료,월,4,6,12:00,15:00,운캠B 329
전공,사회복지와 문화다양성,화,1,3,09:00,12:00,운캠B 424
전공,사회복지현장실습,화,7,9,15:00,18:00,운캠B 329
전공,여성복지론,목,1,3,09:00,12:00,운캠B 329
전공,사회복지법제와 실천,수,7,9,15:00,18:00,운캠B 424
전공,의료사회복지론,수,4,6,12:00,15:00,운캠B 531
전공,정신건강사회복지론,화,4,6,12:00,15:00,운캠B 540
전공,상법 첫걸음,목,7,9,15:00,18:00,난205
전공,민법 첫걸음,수,7,9,15:00,18:00,성306
전공,민법 첫걸음,목,4,6,12:00,15:00,성211
전공,법학입문,목,1,3,09:00,12:00,nan
전공,헌법입문: 갈등 해결의 언어,화,4,6,12:00,15:00,성211
전공,노동법 2,월,7,9,15:00,18:00,성303
전공,행정법총론,수,7,9,15:00,18:00,난604
전공,헌법 2,금,4,6,12:00,15:00,성705
전공,회사법개론,목,4,6,12:00,15:00,난205
전공,소비자법,화,4,6,12:00,15:00,성704
전공,국제법 2,수,4,6,12:00,15:00,성308
전공,법과 추리논증,금,7,9,15:00,18:00,성705
전공,물권법,화,1,3,09:00,12:00,성306
전공,형법각론,화,4,6,12:00,15:00,성305
전공,형법각론,화,7,9,15:00,18:00,성305
